시군구명,법정동,등록번호,중개업소 구분,중개업자명,중개업소명,도로명주소(지번)
충청북도 청주시흥덕구,복대동,43113-2020-00098,공인중개사,유자영,지웰에스테이트공인중개사합동사무소,"충청북도 청주시 흥덕구 진재로 131 106호(복대동, 지웰에스테이트)"
충청북도 청주시흥덕구,복대동,43113-2020-00100,공인중개사,이선주,타임공인중개사합동사무소,"충청북도 청주시 흥덕구 대농로 33 136호(복대동, 테라스퀘어)"
충청북도 청주시흥덕구,오송읍,43113-2020-00103,공인중개사,신은경,밝은미소공인중개사사무소,"충청북도 청주시 흥덕구 오송읍 오송4길 39 , 103호"
충청북도 청주시흥덕구,복대동,43113-2020-00105,공인중개사,김종근,NEW포인트공인중개사사무소,충청북도 청주시 흥덕구 사직대로72번길 19-1 (복대동)
충청북도 청주시흥덕구,봉명동,43113-2020-00106,공인중개사,장선종,이룸공인중개사사무소,충청북도 청주시 흥덕구 덕암로 67 102호 (봉명동)
충청북도 청주시흥덕구,문암동,43113-2020-00113,공인중개사,한민주,테크노조은공인중개사사무소,충청북도 청주시 흥덕구 송화로 229 상가동 127호 (문암동)
충청북도 청주시흥덕구,송절동,43113-2020-00114,공인중개사,이영숙,정다운부동산공인중개사사무소,"충청북도 청주시 흥덕구 송화로184번길 7 상가동 104호(송절동, 우방아이유쉘1단지)"
충청북도 청주시흥덕구,복대동,43113-2020-00116,공인중개사,김용식,사계절공인중개사사무소(합동),"충청북도 청주시 흥덕구 죽천로146번길 3 101호(복대동, 대원아파트상가)"
충청북도 청주시흥덕구,오송읍,43113-2020-00117,공인중개사,어성준,태원합동공인중개사사무소,충청북도 청주시 흥덕구 오송읍 오송생명7로 166 
충청북도 청주시흥덕구,강내면,43113-2020-00125,공인중개사,강주은,신나라공인중개사사무소,충청북도 청주시 흥덕구 강내면 월곡길 23-13 상가동 104호(강내두진하트리움)
충청북도 청주시흥덕구,강서동,43113-2020-00127,공인중개사,이정현,건영부동산중개,충청북도 청주시 흥덕구 호암로 101-77 (강서동)
충청북도 청주시흥덕구,가경동,43113-2020-00128,공인중개사,신광재,GS자이공인중개사사무소,"충청북도 청주시 흥덕구 서현로 32 114호(가경동, 가경자이프라자)"
